id,emoji,description,ocurrences
98,♟️,chess pawn,12
99,🖤,black heart,1
99,💙,blue heart,1
100,♟,chess pawn,2
100,🤫,shushing face,1
102,🚫,prohibited,1
104,😻,smiling cat with heart-eyes,1
104,♟️,chess pawn,1
108,🤸,person cartwheeling,9
109,🔥,fire,1
109,🌡,thermometer,1
109,📷,camera,1
111,☀️,sun,1
111,👱‍♂️,man: blond hair,1
111,👉,backhand index pointing right,1
111,🇵🇱,flag: Poland,1
111,🔝,TOP arrow,1
114,🔥,fire,1
115,♟️,chess pawn,1
116,📸,camera with flash,1
116,😎,smiling face with sunglasses,1
116,❗,red exclamation mark,2
116,📌,pushpin,2
116,©️,copyright,1
116,🔥,fire,2
116,🙏,folded hands,1
116,👈,backhand index pointing left,3
116,🔝,TOP arrow,1
117,🌈,rainbow,1
119,🙌,raising hands,1
119,♟,chess pawn,1
120,🍽️,fork and knife with plate,1
120,🌭,hot dog,1
120,🌍,globe showing Europe-Africa,1
120,🗓️,spiral calendar,1
120,📍,round pushpin,1
120,♟️,chess pawn,1
120,❗,red exclamation mark,2
